ID,scopus_name,scopus_id,grad_year
"Acland, C. Derek;University of North Carolina;1973","Acland, Derek",24549320500,1973
"Acs, Zoltan J.;The New School;1980","Ács, Zoltán J.",7005267087,1980
"Adair, Lorinda P. (Lyn);Indiana University;1998","Adair, Lorinda P.",7005651932,1998
"Adair, Lorinda P.;Indiana University;1998","Adair, Lorinda P.",7005651932,1998
"Adam, Chris;Harvard University","Adam, Chris",57205871587,
"Adam, Tim;University of Virginia;1997","Adam, Tim",23567455400,1997
"Adaman, Fikret;University of Manchester;1993","Adaman, Fikret",6602720025,1993
"Adamovich, Ljubisa S.;University of Belgrade;1961","Adamovich, Ljubiša S.",16404341600,1961
"Adams, Arthur J.;University of Iowa;1978","Adams, Arthur J.",7401909678,1978
"Adams, Barbara L.;Texas A&M University;1981","Adams, Barbara L.",16404048800,1981
"Adams, Brian;Arizona State University;2003","Adams, Brian J.",28767520100,2003
"Adams, Dennis;Texas Tech University;1988","Adams, Dennis A.",7404054224,1988
"Adams, Donald R. Jr.;University of Pennsylvania;1967","Adams, Donald R.",55460434400,1967
"Adams, F. Gerard;University of Michigan;1956","Adams, F. Gerard",7201650417,1956
"Adams, F. Gerard;University of Michigan;1969","Adams, F. Gerard",7201650417,1956
"Adams, James D.;University of Chicago;1976","Adams, James D.",24545208800,1976
"Adams, Janet S.;University of Arkansas;1988","Adams, Janet S.",55066042700,1988
"Adams, Jean W.;University of Illinois;1973","Adams, John W.L.",7404783407,1973
"Adams, Michael K.;University of Arkansas;1986","Adams, Michael Q.",57029612800,1986
"Adams, Paul D.;Ohio State University;1982","Adams, Paul D.",36878442100,1982
"Adams, Roy Dean;University of Illinois;1972","Adams, Roy D.",57012338200,1972
"Adams, Scott J.;Michigan State University;2000","Adams, Scott J.",7402058049,2000
"Adams, Steven J.;University of Cincinnati;1981","Adams, Steven J.",57201292474,1981
"Adams, Susan;Georgia Institute of Technology;1983","Adams, Susan M.",36006351500,1983
"Adams, William C.;George Washington University;1976","Adams, William C.",36817535500,1976
"Adams, William James;Harvard University;1973","Adams, William James",7401724784,1973
"Adamson, Dwight W. (Bill);Washington State University;1988","Adamson, Dwight W.",57225445736,1988
"Adamson, Dwight W.;Washington State University;1988","Adamson, Dwight W.",57225445736,1988
"Adamson, Ian L.;University of Waterloo;1993","Adamson, Ian",7005979973,1993
"Addison, John T.;University of London;1971","Addison, John T.",35320878200,1971
"Addus, Abdussalam A.;Pennsylvania State University;1982","Addus, Abdussalam A.",6602231008,1982
"Addy, Noel D.;University of Florida;1985","Addy, Noel D.",46060900600,1985
"Adelberg, Arthur H.;CUNY, Baruch College;1977","Adelberg, Arthur Harris",6602694784,1977
"Adelman, Irma;University of California, Berkeley;1955","Adelman, Irma",7004350087,1955
"Adelman, Saul W.;University of Georgia;1980","Adelman, Saul W.",16070364300,1980
"Adelstein, Richard P.;University of Pennsylvania;1975","Adelstein, Richard P.",14719060400,1975
"Adeyemi-Bello, Tope;University of Arkansas;1992","Adeyemi-Bello, Tope",6602479117,1992
"Adeyiga, Janet A.;University of Missouri;1980","Adeyiga, Janet",55975978400,1980
"Adhikari, Ajay;Virginia Commonwealth University;1991","Adhikari, Ajay",7004542992,1991
"Adhikari, Deergha;University of Oklahoma;2002","Adhikari, Deergha Raj",6701776992,2002
"Adibi, Esmael;Claremont McKenna College;1980","Adibi, Esmael",24350484400,1980
"Adie, Douglas K.;University of Chicago;1968","Adie, Douglas K.",24583452400,1968
"Adjaoud, Fodil;Universite Laval","Adjaoud, Fodil",6506183666,1982
"Adjaoud, Fodil;Universite Laval;1982","Adjaoud, Fodil",6506183666,1982
"Adjibolosoo, Senyo;Simon Fraser University;1987","Adjibolosoo, Senyo B.S.K.",6504103529,1987
"Adkins, Cheryl L.;University of South Carolina;1990","Adkins, Cheryl L.",7005489344,1990
"Adkins, Lee C.;Louisiana State University;1988","Adkins, Lee C.",7003521055,1988
"Adkins, Nell;Florida State University;1995","Adkins, Nell",55317765100,1995
"Adkins, Robert T.;University of Arkansas;1977","Adkins, Robert T.",24532807000,1977
"Adkins, Roger L.;Kansas State University;1981","Adkins, Roger",51061060700,1981
"Adkisson, J. Amanda;Texas A&M University;1988","Adkisson, J. Amanda",16433592400,1988
"Adlakha, Veena;University of North Carolina, Charlotte;1979","Adlakha, Veena G.",6701606251,1979
"Adler, Michael;Harvard University;1963","Adler, Michael",36004624900,1968
"Adler, Nancy J.;University of California, Los Angeles","Adler, Nancy J.",35432852700,
"Adler, Paul;Picardie","Adler, Paul S.",7202767531,
"Adler, Ralph W.;University at Albany;1990","Adler, Ralph W.",7202640162,1990
"Admati, Anat R.;Yale University;1983","Admati, Anat R.",6507618728,1983
"Adrangi, Bahram;University of Oregon;1982","Adrangi, Bahram",6603619576,1982
"Adsera, Alicia;Boston University;1996","Adserà, Alícia",6602532635,1996
"Adut, Davit;Texas A&M University;2003","Adut, Davit",13003792800,2003
"Aerni, April Laskey;University of Cincinnati;1987","Aerni, April Laskey",6507564516,1987
"Affaneh, Ibrahim J.;University of Utah;1981","Affaneh, Ibrahim",56678612100,1981
"Affaneh, Ibrihim J.;University of Utah;1981","Affaneh, Ibrahim",56678612100,1981
"Affleck-Graves, John F.;University of Cape Town;1977","Affleck-Graves, John F.",6602839422,1977
"Afifi, Rasoul;University of North Texas;1984","Afifi, Rasoul",7003520700,1984
"Afrasiabi, Ahmad;West Virginia University;1985","Afrasiabi, Ahmad Behrooz",24300685200,1985
"Afridi, Farzana;University of Michigan;2006","Afridi, Farzana",26326121300,2006
"Afshar, Tahmoures A.;Indiana University;1994","Afshar, Tahmoures",50860977000,1994
"Aftalion, Florin;Northwestern University;1975","Aftalion, Florin",24545034700,1975
"Afuah, Alan;Massachusetts Institute of Technology;1994","Afuah, Allan N.",6603467976,1994
"Agami, Abdel M.;University of Illinois;1970","Agami, Abdel M.",24498394300,1970
"Agarwal, Atul;University of Texas, Arlington;1995","Agarwal, Atul",36922111300,1995
"Agarwal, Naresh C.;University of Minnesota;1974","Agarwal, Naresh C.",7202077070,1974
"Agarwal, Rajshree;University at Buffalo;1994","Agarwal, Rajshree",7402481446,1994
"Agarwal, Ritu;Syracuse University;1988","Agarwal, Ritu",7402481134,1988
"Agarwal, Vikas;University of London;2001","Agarwal, Vikas",36920601600,2001
"Agarwal, Vinod;University of California, Santa Barbara;1977","Agarwal, Vinod B.",7201950605,1977
"Agarwal, Vinod;University of California, Santa Barbara;1986","Agarwal, Vinod B.",7201950605,1977
"Agbetsiafa, Douglas K.;University of Notre Dame;1980","Agbetsiafa, Douglas K.",7801374245,1980
"Agbeyegbe, Terence;University of Essex;1983","Agbeyegbe, Terence D.",6507114608,1983
"Agboola, Isaac;University of Maryland, College Park","Agboola, Isaac O.",56720348900,
"Agca, Senay;Virginia Polytechnic Institute and State University;2002","Aǧca, Şenay",6507243952,2002
"Agesa, Jackie;University of Wisconsin, Milwaukee;1996","Agesa, Jacqueline",6603096721,1996
"Agesa, Jacqueline;University of Wisconsin, Milwaukee;1996","Agesa, Jacqueline",6603096721,1996
"Agesa, Richard;University of Wisconsin, Milwaukee;1996","Agesa, Richard U.",6603153291,1996
"Aggarwal, Ajay;Virginia Polytechnic Institute and State University;1991","Aggarwal, Ajay K.",7201564008,1991
"Aggarwal, Rajesh K.;Harvard University;1994","Aggarwal, Rajesh K.",7203025027,1994
"Aggarwal, Rajesh;Harvard University;1994","Aggarwal, Rajesh K.",7203025027,1994
"Aggarwal, Reena;University of Maryland, College Park;1985","Aggarwal, Reena",7203025120,1985
"Aghazadeh, Seyed M.;University of Nebraska;1983","Aghazadeh, Seyed Mahmoud",6508171660,1983
"Aghion, Philippe;Harvard University","Aghion, Philippe",7004203407,
"Agmon, Tamir;University of Chicago;1971","Agmon, Tamir B.",24512881100,1971
"Agnello, Richard J.;Johns Hopkins University;1970","Agnello, Richard J.",24554659400,1970
"Agnew, Julie R.;Boston College;2001","Agnew, Julie Richardson",15761801300,2001
"Agnihothri, Saligrama;University of Rochester;1985","Agnihothri, Saligrama R.",6603207919,1985
"Agrawal, Anup;University of Pittsburgh;1986","Agrawal, Anup",7202771538,1986
"Agrawal, Surendra P.;University of Florida;1973","Agrawal, Surendra P.",55921081600,1973
"Agrawal, Vipin;University of Texas at Austin;2003","Agrawal, Vipin",55439122000,2003
"Agrawal, Vipul;University of Pennsylvania;1994","Agrawal, Vipul",55439120700,1994
"Aguero, Jorge;University of Wisconsin, Madison;2006","Agüero, Jorge M.",22949942000,2006
"Aguerrevere, Felipe;University of California, Los Angeles;2000","Aguerrevere, Felipe L.",6505916392,2000
"Aguiar, Mark;Massachusetts Institute of Technology;1999","Aguiar, Mark",23392047000,1999
"Aguilera, Ruth;Harvard University;1998","Aguilera, Ruth V.",7005236045,1998
"Aguirre, Sophia;University of Notre Dame;1992","Aguirre, Maria Sophia",7103022208,1992
"Aguirregabiria, Victor;CEMFI;1995","Aguirregabiria, Víctor",6507914219,1995
"Ahadiat, Nasrollah;University of Arkansas;1982","Ahadiat, Nasrollah",24754474700,1982
"Aharonovitz, Gilad;Tel Aviv University;2006","Aharonovitz, Gilad David",29067480300,2006
"Aharony, Joseph;Northwestern University;1974","Aharony, Joseph",7801467004,1974
"Ahene, Rexford A.;University of Wisconsin, Madison;1983","Ahene, Rexford A.",7801600835,1983
"Ahiakpor, James C.;University of Toronto;1981","Ahiakpor, James C.W.",6602468692,1981
"Ahking, Francis W.;Virginia Polytechnic Institute and State University;1981","Ahking, Francis W.",6506662411,1981
"Ahlawat, Sunita S.;Pennsylvania State University;1993","Ahlawat, Sunita S.",7007008898,1993
"Ahlburg, Dennis;University of Pennsylvania;1979","Ahlburg, Dennis A.",7003670978,1979
"Ahlgrim, Kevin;University of Illinois;2001","Ahlgrim, Kevin C.",6507092836,2001
"Ahlin, Christian;University of Chicago;2001","Ahlin, Christian R.",23569525300,2001
"Ahmad, Arshad;McGill University;1997","Ahmad, Arshad",57199118156,1997
"Ahmad, Sohel;University of Minnesota;1996","Ahmad, Sohel",7401993092,1996
"Ahmadi, Ali;University of Oklahoma;1997","Ahmadi, S. Ali",25122500200,1997
"Ahmadi, Mohammad;University of North Texas;1976","Ahmadi, Mohammad",7103163134,1976
"Ahmadi, Reza H.;University of Texas at Austin;1988","Ahmadi, Reza H.",54379482100,1988
"Ahmadian, Ahmad;University of North Texas;1983","Ahmadian, Ahmad",6603869193,1983
"Ahmadjian, Christina;University of California, Berkeley;1995","Ahmadjian, Christina L.",6602789174,1995
"Ahmed, Anwer S.;University of Rochester;1992","Ahmed, Anwer S.",55316235400,1992
"Ahmed, Ehsan;Michigan State University;1983","Ahmed, Ehsan",7102824453,1983
"Ahmed, Kamran;Australian National University;1994","Ahmed, Kamran Anis",9272462600,1994
"Ahmed, Mirghani;University of Manchester;1990","Ahmed, Mirghani Nimir",55463617000,1990
"Ahmed, Nazim U.;Texas A&M University;1978","Ahmed, Nazim Uddin",55432664300,1978
"Ahmed, Parvez;University of Texas, Arlington;1996","Ahmed, Parvez",55412195400,1996
"Ahmed, Syed;Simon Fraser University;1988","Ahmed, Syed M.",57697932400,1988
"Ahn, David;Stanford University;2004","Ahn, David S.",19336859800,2004
"Ahn, Dong-Hyun;New York University;1996","Ahn, Dong-hyun",35271267900,1996
"Ahn, Seoungpil;Purdue University;2001","Ahn, Seoungpil",7401989546,2001
"Ahn, Seung C.;Michigan State University;1990","Ahn, Seung-chan",7401989547,1990
"Ahn, Sung K.;University of Wisconsin, Madison;1987","Ahn, Sung K.",36004612500,1987
"Ahn, Tae-Sik;University of Texas at Austin;1987","Ahn, Tae-sik",36008011000,1987
"Ahrens, Thomas;University of London;1996","Ahrens, Thomas",36818630800,1996
"Ahuja, Gautam;University of Michigan;1996","Ahuja, Gautam",7005707901,1996
"Ahuja, Manju;University of Pittsburgh;1995","Ahuja, Manju K.",7101943053,1995
"Ai, Chunrong;Massachusetts Institute of Technology;1990","Ai, Chunrong",7003770272,1990
"Aigbedo, Henry;Tsukuba;1998","Aigbedo, Henry",6602961424,1998
"Aiken, Peter H.;George Mason University;1993","Aiken, Peter H.",57203711483,1993
"Ailawadi, Kusum L.;University of Virginia;1991","Ailawadi, Kusum L.",6603152290,1991
"Aiman-Smith, Lynda;Purdue University;1997","Aiman-Smith, Lynda",7007134740,1997
"Ainina, M. Fall;Arizona State University;1986","Ainina, M. Fall",8212567300,1986
"Ainsworth, Penne L.;University of Nebraska;1988","Ainsworth, Penne",24292679100,1988
"Aisbett, Janet;University of Western Ontario","Aisbett, Janet",6603808539,
"Ait-Sahalia, Yacine;Massachusetts Institute of Technology;1993","Aït-Sahalia, Yacine",6701522393,1993
"Aitken, Michael J.;University of New South Wales","Aitken, Michael J.",7102783987,
"Aiuppa, Thomas A.;University of Georgia;1981","Aiuppa, Thomas",6505920886,1981
"Aivazian, Varouj A.;Ohio State University;1975","Aivazian, Varouj A.",6604071769,1975
"Aizenman, Joshua;University of Chicago;1981","Aizenman, Joshua",7003665762,1981
"Aizer, Anna;University of California, Los Angeles;2002","Aizer, Anna",6603193236,2002
"Ajami, Riad A.;Pennsylvania State University;1978","Ajami, Riad A.",8690936800,1978
"Ajayi, Richard A.;Temple University;1989","Ajayi, Richard A.",35434410700,1989
"Ajilore, Olugbenga;Claremont McKenna College;2002","Ajilore, Olugbenga",25228604800,2002
"Ajinkya, Bipin B.;University of Minnesota;1976","Ajinkya, Bipin B.",8618531800,1976
"Aka, Arsene A.;University of Pittsburgh","Aka, Arsene",6602606164,
"Akande, Benjamin Ola;University of Oklahoma;1995","Akande, Benjamin O.",6603389523,1995
"Akashi, Naoko;University of Virginia;2006","Akashi-Ronquest, Naoko",24471549600,2006
"Akbari, Ali;University of Southern California;1985","Akbari, Ali",54956350600,1985
"Akbari, Hamid;Ohio State University;1988","Akbari, Hamid",57195198089,1988
"Akcay, Cevdet;CUNY;1992","Akçay, O. Cevdet",57189043574,1992
"Akdogu, Evrim;Washington University in St. Louis;2002","Akdoǧu, Evrim",6505688608,2002
"Akel, Anthony;Northwestern University;1974","Akel, Anthony M.",6506011983,1974
"Akerlof, George A.;Massachusetts Institute of Technology;1966","Akerlof, George A.",6603005927,1966
"Akhavi-Pour, Hossein;University of Kansas;1979","Akhavi-Pour, Hossein",57046834300,1979
"Akhbari, Marlena;University of Cincinnati;1999","Akhbari, Marlena",9278729600,1999
"Akhigbe, Aigbe;University of Houston;1991","Akhigbe, Aigbe O.",6701356812,1991
"Akhtar, Syed;Indian In;1983","Akhtar, Syed",7202316675,1983
"Akin, Gib;University of California, Los Angeles;1975","Akin, Gib",6602795403,1975
"Akin, John S.;University of Michigan;1971","Akin, John S.",7006846639,1971
"Akin, Muray;University of Minnesota;2006","Akin, Serife Nuray",36571539300,2006
"Akinc, Umit;University of North Carolina;1974","Akinc, Umit",6602782214,1974
"Akkihal, Ramchandra G.;University of Tennessee;1969","Akkihal, R. G.",16508806600,1969
"Akkina, Krishna Rao;University of Minnesota;1972","Akkina, Krishna Rao",6506757130,1972
"Aksoy, Yasemin;University of Florida;1988","Aksoy, Yasemin",7003894098,1988
"Aktas, Elvan;University of Florida;2001","Aktas, Elvan",25222601300,2001
"Aktouf, Omar;HEC Montreal","Aktouf, Omar",24172603600,
"Al-Darayseh, Musa M.;University of Nebraska;1990","Al-Darayseh, Musa M.",56995101300,1990
"Al-Hayale, Talal;University of Wales;1990","Al-Hayale, Talal",14023994000,1990
"Al-Hmoud, Rashid;Texas Tech University;1994","Al-Hmoud, Rashid B.",8725931300,1994
"Al-Jabri, Ibrahim;Illinois Institute of Technology;1992","Al-Jabri, Ibrahim M.",6508324624,1992
"Al-Khaldi, Muhammad A.M.;Oklahoma State University;1991","Al-Khaldi, Muhammad A.",6603257400,1991
"Al-Qenae, Rashid;University of Essex;2000","Al-Qenae, Rashid",14065680200,2000
"Al-Sahlawi, Mohammed A.;University of Wisconsin, Madison;1980","Al-Sahlawi, Mohammed Abdulaziz",56618377600,1980
"Al-Sharkas, Adel;University of New Orleans;2008","Al-Sharkas, Adel A.",23487903700,2008
"Al-Tuwaijri, Sulaiman A.;Case Western Reserve University;1998","Al-Tuwaijri, Sulaiman A.",6505710904,1998
"Alagiah, Ratnam;University of Wollongong;1997","Alagiah, Ratnam",8059640100,1997
"Alam, Ila;Rice University;1994","Semenick Alam, Ila M.",6506722164,1994
"Alam, K. F.;C LondPl","Alam, Kazi Firoz",7006982275,
"Alam, M. Imam;University of Illinois;1995","Alam, Imam M.",7005231287,1995
"Alam, M. Shahid;University of Western Ontario;1979","Alam, Moneer Shahid",7401493130,1979
"Alam, Pervaiz;University of Houston;1984","Alam, Pervaiz",6602249925,1984
"Alangar, Sadhana M.;Texas Tech University;1993","Alangar, Sadhana M.",6507731660,1993
"Alaraini, Sulaiman;King Saud University;1998","Alaraini, Sulaiman A.",26530843100,1998
"Alavi, Jafar;University of Tennessee;1986","Alavi, Jafar",19633294500,1986
"Albanese, Robert;Ohio State University;1962","Albanese, Robert",7005187679,1962
"Albanesi, Stefania;Northwestern University;2001","Albanesi, Stefania",23048575500,2001
"Albelda, Randy P.;University of Massachusetts;1983","Albelda, Randy",6602371831,1983
"Alber, Antone F.;Pennsylvania State University;1971","Alber, Antone F.",6507721361,1977
"Alber, Antone F.;Pennsylvania State University;1977","Alber, Antone F.",6507721361,1977
"Alberini, Anna;University of California, San Diego;1992","Alberini, Anna",6701713403,1992
"Albert, Joseph D.;Georgia State University;1978","Albert, Joseph D.",37041205700,1978
"Albert, Michael;Georgia State University;1977","Albert, Michael",57189727052,1977
"Albert, Robert L. Jr.;University of Cincinnati;1992","Albert, Robert L.",7202686195,1992
"Albert, Robert L. Jr.;University of Cincinnati;1997","Albert, Robert L.",7202686195,1997
"Albert, Robert;University of Cincinnati;1992","Albert, Robert L.",7202686195,1992
"Albrecht, Conan C.;University of Arizona;2000","Albrecht, Conan C.",7004487355,2000
"Albrecht, James W.;University of California, Berkeley;1976","Albrecht, James W.",7202623033,1976
"Albrecht, Maryann;Emory University;1975","Albrecht, Maryann",57191509709,1975
"Albrecht, W. Steve;University of Wisconsin, Madison;1975","Albrecht, William Steve",7101707065,1975
"Albright, Thomas L.;University of Tennessee;1990","Albright, Thomas L.",7005283643,1990
"Albring, Susan;University of Arizona;2002","Albring, Susan M.",35104286400,2002
"Albuquerque, Pedro;University of Wisconsin, Madison;2001","Albuquerque, Pedro H.",8147760600,2001
"Albuquerque, Rui;University of Rochester;1999","Albuquerque, Rui",7005471667,1999
"Alciatore, Mimi L.;University of Texas at Austin;1989","Alciatore, Mimi L.",6506494460,1989
"Aldag, Ramon J.;Michigan State University;1974","Aldag, Ramon J.",6701560654,1974
"Aldana, Carolyn;University of California, Riverside;1995","Aldana, Carolyn B.",9638612400,1995
"Alder, Stoney;University of Colorado;1999","Alder, G. Stoney",7004628633,1999
"Alderson, Michael J.;University of Illinois;1984","Alderson, Michael J.",7006451731,1984
"Aldhizer, George R. III;Texas Tech University;1994","Aldhizer, George R.",26325444000,1994
"Aldrich, Howard E.;University of Michigan;1969","Aldrich, Howard",7007143873,1969
"Aldrich, Mark;University of Texas at Austin;1969","Aldrich, Mark",8784962800,1969
"Alesina, Alberto F.;Harvard University;1986","Alesina, Alberto F.",55886519200,1986
"Aleskerov, Fuad;Moscow State University;1981","Aleskerov, Fuad T.",7003947309,1981
"Alessandria, George;University of Pennsylvania;2000","Alessandria, George",8544896700,2000
"Alexander, Donald L.;Pennsylvania State University;1983","Alexander, Donald L.",7402830713,1983
"Alexander, Elmore R.;University of Georgia;1977","Alexander, Elmore R.",7201383790,1977
"Alexander, Gordon J.;University of Michigan;1975","Alexander, Gordon J.",7401920474,1975
"Alexander, James G.;University of Texas at Austin;1989","Alexander, James G.",57198890364,1989
"Alexander, James G.;University of Texas at Austin;1991","Alexander, James G.",57198890364,1989
"Alexander, James;University of Texas at Austin;1989","Alexander, James G.",57198890364,1989
"Alexander, James;University of Texas at Austin;1991","Alexander, James G.",57198890364,1989
"Alexander, John C. Jr.;Florida State University;1991","Alexander, John C.",7404459058,1991
"Alexander, Larry D.;University of California, Los Angeles;1979","Alexander, Larry D.",57189170316,1979
"Alexander, Robin A.;Northwestern University;1981","Alexander, Robin A.",36815480600,1981
"Alexander, Susan L.;Southern Methodist University;1977","Alexander, Susan",24789754900,1977
"Alexandrakis, Constantine;Clark University","Alexandrakis, Constantine",23466558000,
"Alexandrin, Glen;Clark University;1967","Alexandrin, Glen",6505771482,1967
"Alexandrou, George;University of London;2000","Alexandrou, George",6506146422,2000
"Alexeev, Michael;Duke University;1984","Alexeev, Michael V.",6701349362,1984
"Alexis, Marcus;University of Minnesota;1959","Alexis, Marcus",35839167800,1959
"Alexis, Marcus;University of Minnesota;1969","Alexis, Marcus",35839167800,1959
"Alford, Charles L.;University of Alabama;1971","Alford, Charles",36771714200,1971
"Alford, R. Mark;Texas A&M University;1978","Alford, R. Mark",57191907212,1978
"Alger, Daniel;Northwestern University;1979","Alger, Dan",36853917800,1979
"Alger, I.;University of Toulouse;1997","Alger, Ingela",7003673460,1997
"AlHashim, Dhia D.;University of Missouri;1971","Alhashim, Dhia D.",56958440000,1971
"Ali, Abbas J.;West Virginia University;1982","Ali, Abbas J.",7403355497,1982
"Ali, Abdiweli;George Mason University;2000","Ali, Abdiweli M.",36900151600,2000
"Ali, Ashiq;Columbia University;1987","Ali, Ashiq",7403354876,1987
