dep,name,rank,area,degree,grad_year,school,since,annotation
University of Denver,"Freeman, Katherine",Assoc,AD,PHD,78,Fla St,1983,
University of Denver,"Mott, Tracy L.",Assoc,BE,PHD,82,Stanford,1991,
University of Denver,"Urquhart, Robert",Assoc,BN,PHD,88,New Sch,1988,
University of Denver,"Johnson, Laurie",Asst,DHQ,PHD,98,U Wash,2000,
University of Denver,"Wilson, Matthew",Asst,HR,PHD,0,Tx-Austin,2001,
University of Denver,"Yasar, Yavuz",Inst,IL,ABD,,Utah,2003,
DePaul University,"Kraft, Arthur",Dean,,PHD,70,SUNY-Buf,7-99,
DePaul University,"Miller, Michael S.",C-Ac,E,PHD,80,Pittsburgh,1980,
DePaul University,"Batavia, Bala",Prof,CD,PHD,74,N Car St,1976,
DePaul University,"Ciecka, James E.",Prof,CD,PHD,70,Purdue,1970,
DePaul University,"Donley, Thomas D.",Prof,C,PHD,93,Wisconsin,8-90,
DePaul University,"Ghoshal, Animesh",Prof,DE,PHD,74,Michigan,1981,
DePaul University,"Krautmann, Anthony C.",Prof,DL,PHD,85,Iowa,1985,
DePaul University,"Mondschean, Thomas H.",Prof,EG,PHD,89,Wisconsin,1987,
DePaul University,"Oppenheimer, Margaret M.",Prof,JDK,PHD,74,Nrthwstrn,9-76,
DePaul University,"Sander, William III",Prof,RD,PHD,78,Cornell,1989,
DePaul University,"Tenorio, Rafael",Prof,EDA,PHD,88,J Hopkins,1999,
DePaul University,"Wiltgen, Richard J.",Prof,B,PHD,74,Illinois,1973,
DePaul University,"Berdell, John",Assoc,NE,PHD,91,Cambridge,1991,
DePaul University,"Bucci, Gabriella A.",Assoc,DH,PHD,88,J Hopkins,1989,
DePaul University,"Choi, Jin",Assoc,GMC,PHD,82,Iowa St,8-88,
DePaul University,"Epstein, Seth",Assoc,D,PHD,88,Arizona,1992,
DePaul University,"Opiela, Timothy P.",Assoc,EG,PHD,87,Tx A&M,2000,
DePaul University,"Owen, Laura J.",Assoc,NJ,PHD,91,Yale,1990,
DePaul University,"Aseff, Jorge G.",VAsst,DF,PHD,1,Ariz St,,
DePaul University,"Dill, Floyd R.",Emer,N,PHD,73,Cornell,1975,
DePaul University,"Kubik, Paul J.",VAsst,ABPO,PHD,90,Tennessee,,
DePaul University,"Tatom, John A.",VAsst,E,PHD,71,Tx A&M,,
DePaul University,"Thiel, Stuart E.",VAsst,K,PHD,86,Wisconsin,,
DePaul University,"Woo, Jaejoon",Asst,EC,PHD,97,Harvard,2000,
DePaul University,"Batavia, Ashok",Lect,F,MBA,79,DePaul,,
DePauw University,"English, Mary P.",C-Ac,,PHD,89,So Meth,1988,
DePauw University,"Field, William J.",Prof,,PHD,80,Michigan,1979,
DePauw University,"Lemon, Gary D.",Prof,,PHD,82,Kansas,1976,
DePauw University,"Musser, Thomas",Assoc,,MACC,80,Arizona,2001,
DePauw University,"Wachter, Daniel R.",Assoc,,PHD,82,Purdue,1979,
DePauw University,"Goma, Ophelia",Asst,,PHD,77,Missouri,1997,
DePauw University,"Gropp, Jeffrey",Asst,,PHD,0,W Virginia,2000,
DePauw University,"Isenberg, Eric J.",Asst,,PHD,3,Wash U,2003,
DePauw University,"Jennings, Ann",Asst,,PHD,89,Utah,1998,
DePauw University,"Villinski, Michele",Asst,,PHD,3,Minnesota,,
University of Detroit Mercy,"Shen, Raphael",Prof,,PHD,75,Mich St,1977,
University of Detroit Mercy,"Byrne, Donald R.",Prof,,PHD,71,Notre Dm,1966,
University of Detroit Mercy,"Song, Yoon K.",Prof,,PHD,69,Illinois,1969,
University of Detroit Mercy,"Brorby, Bruce M.",Asst,,MA,67,Detroit,1971,Assistant Dean
University of Detroit Mercy,"Mosby, James B.",Asst,,MA,70,Detroit,1972,
University of Detroit Mercy,"Schad, Tom",Asst,,,,,,
Dickinson College,"Barone, Charles A.",C-Pr,ABJ,PHD,78,American,1975,
Dickinson College,"Bellinger, William K.",Assoc,JDH,PHD,85,Nrthwstrn,1981,
Dickinson College,"Koont, Sinan",Assoc,CFE,PHD,87,Mass,1986,
Dickinson College,"Kongar, Ellu",Asst,JO,PHD,3,Utah,2003,
Dickinson College,"McPhail, Edward",Asst,BEF,PHD,1,Mass,1999,
Dickinson College,"Tynan, Nicky",Asst,DHLN,PHD,0,GeoMason,2001,
Dillard University,"Chase, Edgar L. III",Dean,Atg,JD,,Loyola,,
Dillard University,"Fugar, Christian V.",C-Ac,,PHD,89,Howard,,
Dillard University,"Mengistu, Tadessa",Assoc,,PHD,86,Indiana,,
Dillard University,"Sheriff, Mohamed A.",Assoc,,PHD,91,Howard,,
Univ of District of Columbia,"Quigley, Herbert G.",Dean,,DBA,77,Geo Wash,1969,
Univ of District of Columbia,"Goyal, Tarsiam L.",C-Pr,,DSC,70,Geo Wash,1967,
Univ of District of Columbia,"Ezeani, Eboh",Prof,O,PHD,76,American,1976,
Univ of District of Columbia,"Boland, Dennis",Assoc,BA,PHD,70,Illinois,1976,
Univ of District of Columbia,"Omar, Hanai",Assoc,AH,PHD,96,Am World,1976,
Univ of District of Columbia,"Samhan, Muhammad",Assoc,OP,PHD,82,American,1976,
Dowling College,"Greer, Mark",C-As,,PHD,90,Michigan,1994,
Dowling College,"Raji, Seyed",Prof,,PHD,72,NYU,,
Dowling College,"Gullason, Edward T.",Assoc,,PHD,86,Penn,,
Dowling College,"Sonny, Jacob",Assoc,,PHD,71,New Sch,,
Drake University,"Heaston, Patrick H.",Dean,Atg,PHD,82,Nebraska,1983,
Drake University,"Hosseinzadeh, Esmail",Prof,,PHD,87,New Sch,1988,
Drake University,"Boal, William M.",Assoc,,PHD,85,Stanford,1995,
Drake University,"Hewett, Roger S.",Assoc,,PHD,84,Illinois,1981,
Drake University,"Weaver, Janice E.",Assoc,,PHD,76,Illinois,1983,
Drew University,"Cucchi, Paolo M.",Dean,,PHD,72,Princeton,1984,
Drew University,"Curtis, Fred",C-Pr$,BJOQ,PHD,83,Mass,1978,
Drew University,"Cole, Donald P.",Prof,AH,PHD,68,Ohio St,1966,
Drew University,"Seneca, Rosalind S.",Prof,DL,PHD,71,Penn,1981,
Drew University,"Chandross, Robert",Assoc,G,PHD,73,Princeton,2003,
Drew University,"Colton, Nora Ann",Assoc,FPT,DPHL,92,Oxford,1994,
Drew University,"Smith, Bernard",Assoc,HOP,PHD,89,Yale,1986,
Drew University,"Jestaz, David",Asst,E,PHD,,D'Etudes,2003,
Drew University,"Huato, Julio",Lect,D,ABD,,City U Ny,2003,
Drexel University,"Tsetsekos, George P.",Dean,Fnce,PHD,86,Tennessee,1988,
Drexel University,"Madan, Vibhas",C-Pr,F,PHD,89,Mich St,1989,
Drexel University,"Jeon, Bang Nam",Prof,F,PHD,87,Indiana,1988,
Drexel University,"Koziara, Edward C.",Prof,J,PHD,65,Wisconsin,1966,
Drexel University,"McCain, Roger A. III",Prof,A,PHD,71,LSU,1988,
Drexel University,"Hammoudeh, Shawka M.",Assoc,Q,PHD,80,Kansas,1990,
Drexel University,"Jensen, Paul E.",Assoc,F,PHD,97,Penn St,1997,
Drexel University,"Lester, Bijou",Assoc,A,PHD,81,Penn,1988,
Drexel University,"Harrison, Teresa",Asst,L,PHD,2,Texas,2002,
Drexel University,"Laincz, Chris",Asst,O,PHD,3,Duke,2003,
Drexel University,"Lvla, Alina",Asst,,PHD,3,Mich St,2003,
Drexel University,"Lybecker, Kristina M.",Asst,F,PHD,0,Berkeley,2000,
Drexel University,"McGeary, Kerranne",Asst,I,PHD,97,Penn St,2002,
Drexel University,"Renhoff, Adam",Asst,L,PHD,3,Virginia,2003,
Drexel University,"Stehr, Mark",Asst,I,PHD,2,Berkeley,2002,
Drexel University,"Tang, Linghui",Asst,F,PHD,98,Syracuse,1998,
Drury University,"Wyatt, Robert L.",D-Ac,Atg,PHD,93,Memphis,1996,
Drury University,"Rohlf, William D. Jr.",Prof,,PHD,72,Kansas St,1972,
Drury University,"Mullins, Steven D.",Assoc,,PHD,83,Okla St,1982,
Duke University,"Nechyba, Thomas",C-Pr,HD,PHD,94,Rochester,7-99,
Duke University,"Bollerslev, Tim",Prof,CG,PHD,86,Ca-SnDgo,9-98,
Duke University,"DeMarchi, Neil B.",Prof,EBN,PHD,70,Austr Natl,9-71,
Duke University,"Goodwin, Craufurd D. W.",Prof,ABN,PHD,58,Duke,9-61,James D. Duke Professor
Duke University,"Grabowski, Henry G.",Prof,LO,PHD,67,Princeton,9-72,
Duke University,"Graham, Daniel A.",Prof,DK,PHD,69,Duke,9-69,
Duke University,"Kelley, Allen C.",Prof,ONT,PHD,64,Stanford,9-72,James D. Duke Professor
Duke University,"Kimbrough, Kent P.",Prof,FEH,PHD,80,Chicago,9-80,
Duke University,"Leachman, Lori",Prof,EGF,PHD,87,S Carol,9-98,
Duke University,"McElroy, Marjorie B.",Prof,JGD,PHD,69,Nrthwstrn,9-70,
Duke University,"Schmitt-Grobe, Stephanie",Prof,E,PHD,94,Chicago,7-03,
Duke University,"Sloan, Frank A.",Prof,IJ,PHD,69,Harvard,9-93,Alexander McMahon Professor
Duke University,"Tauchen, George",Prof,CG,PHD,78,Minnesota,9-77,
Duke University,"Taylor, Curtis",Prof,DL,PHD,92,Yale,9-00,
Duke University,"Tower, Edward",Prof,FOEG,PHD,71,Harvard,9-74,
Duke University,"Uribe, Martin",Prof,,PHD,,,7-03,
Duke University,"Vernon, John M.",Prof,LD,PHD,66,MIT,9-66,
Duke University,"Weintraub, E. Roy",Prof,NBC,PHD,69,Penn,9-70,
Duke University,"Hong, Han",Assoc,CD,PHD,98,Stanford,9-03,
Duke University,"Peretto, Pietro",Assoc,EFLM,PHD,94,Yale,9-94,
Duke University,"Abraham, Arpad",Asst,EJC,PHD,2,Pompeu,9-02,
Duke University,"Arcidiacono, Peter",Asst,DJ,PHD,99,Wisconsin,9-99,
Duke University,"Beresteanu, Arie",Asst,CLH,PHD,1,Nrthwstrn,9-01,
Duke University,"Besharov, Gregory",Asst,DH,PHD,0,Stanford,9-00,
Duke University,"Connolly, Michelle",Asst,FO,PHD,96,Yale,9-97,
Duke University,"Coppejans, Mark",Asst,CG,PHD,96,Nrthwstrn,9-96,
Duke University,"Ellickson, Paul",Asst,LC,PHD,99,MIT,9-02,
Duke University,"Eraker, Bjorn",Asst,GC,PHD,1,Chicago,9-01,
Duke University,"Heim, Bradley",Asst,DJ,PHD,2,Nrthwstrn,9-02,
Duke University,"Rossi, Barbara",Asst,CEF,PHD,1,Princeton,9-01,
Duke University,"Tarozzi, Alessandro",Asst,ODC,PHD,2,Princeton,9-02,
Duke University,"Yildirim, Huseyin",Asst,LD,PHD,,Florida,9-00,
Duke University,"Becker, Charles",Resr,ORT,PHD,81,Princeton,9-03,
Duke University,"Burmeister, Edwin",Resr,GOC,PHD,65,MIT,9-90,
Duke University,"Toniolo, Gianni",Resr,BN,PHD,66,Venice,,
Duke University,"Bajari, Patrick",AcRes,DL,PHD,97,Minnesota,7-03,
Duquesne University,"Stalder, James C.",Dean,,BS,62,Penn St,2000,
Duquesne University,"Bond, Richard E.",Assoc,,PHD,69,Maryland,1969,
Duquesne University,"Marlin, Matthew R.",Assoc,,PHD,81,Fla St,1987,
Duquesne University,"Hettler, Paul",Asst,,PHD,98,Pittsburgh,1999,
Duquesne University,"Wagner, Gary",Asst,,PHD,99,W Virginia,2001,
Duquesne University,"Davies, Antony",,,PHD,94,Albany,2001,
Earlham College,"Krishnan, Rajaram",C-As,,PHD,97,Boston,1999,
Earlham College,"Diskin, Jonathan",Assoc,,PHD,89,Mass,1988,
Earlham College,"Lautzenheiser, Mark",Asst,,PHD,0,Utah,2003,
East Carolina University,"Sparrow, Keats",Dean,,PHD,,Kentucky,,
East Carolina University,"Ericson, Richard E.",C-Prr,CDLP,PHD,79,Berkeley,2003,
East Carolina University,"Bays, Carson W.",Prof,IKLH,PHD,74,Michigan,1982,
East Carolina University,"Bishop, John A.",Prof,H,PHD,87,Alabama,1988,
East Carolina University,"Zeager, Lester A.",Prof,CDO,PHD,87,Pittsburgh,1986,
East Carolina University,"Parker, Randall E.",Assoc,EN,PHD,86,Kentucky,1986,
East Carolina University,"Rothman, Philip",Assoc,CEG,PHD,90,NYU,1992,
East Carolina University,"Backmeier, Lance J.",Asst,CE,PHD,2,Tx A&M,2002,
East Carolina University,"Bin, Okmyung",Asst,AO,PHD,98,Oregon St,2001,
East Carolina University,"Holmes, George M.",Asst,CIJH,PHD,99,N Carol,1999,
East Carolina University,"Landry, Craig E.",Asst,DQ,MS,99,Georgia,2003,
East Carolina University,"Liu, Haiyong",Asst,CDIJ,PHD,3,N Carol,2003,
East Carolina University,"Rupp, Nicholas",Asst,LD,PHD,98,Tx A&M,2001,
East Carolina University,"Zinn, Gary",VAsst,ADER,PHD,77,Syracuse,2000,
East Central University,"Mayfield, William",Dean,,PHD,99,Glasgow,,
East Central University,"Morchart, Thomas B.",,Fnce,PHD,76,Geo St,9-01,
East Central University,"Steger, Eric K.",Prof,,PHD,80,La Tech,1970,
East Stroudsburg University,"Newmann, Bonnie",Dean,,PHD,72,New Mex,1992,
East Stroudsburg University,"Hartman, Harrison G.",C-Pr,J,PHD,76,NYU,1964,
East Stroudsburg University,"Bunjun, Seewoonundun",Prof,D,PHD,79,Penn St,1979,
East Stroudsburg University,"Christofides, Constantinos A",Prof,CRT,PHD,77,Lehigh,1971,
East Stroudsburg University,"Kidman, Peter N.",Prof,K,PHD,71,W Virginia,1977,
East Stroudsburg University,"DeCosmo, Michael C.",Assoc,,MBA,84,Lehigh,1984,
East Stroudsburg University,"Kane, Mamadou",Assoc,EFN,MA,72,NYU,1973,
East Stroudsburg University,"Kercsmar, John",Assoc,M,PHD,85,Houston,,
East Stroudsburg University,"Nyamwange, Richard",Assoc,D,MBA,82,Long Isl,1987,
East Stroudsburg University,"Behr, Todd",Asst,EH,MBA,78,Lehigh,1989,
East Stroudsburg University,"Neelakantan, P.",Asst,D,PHD,92,SUNY-Buf,1992,
East Tennessee State Univ,"Garceau, Linda R.",Dean,Atg,DBA,86,Boston U,2000,
East Tennessee State Univ,"Alavi, Jafar",C-Pr,,PHD,86,Tennessee,1985,
East Tennessee State Univ,"Dotterweich, Douglas P.",Prof,,PHD,78,Delaware,1984,
East Tennessee State Univ,"Hippie, F. Steb",Prof,,PHD,72,So Meth,1982,
East Tennessee State Univ,"Everett, Michael David",Assoc,,PHD,67,Wash U,1977,
East Tennessee State Univ,"Mackara, W. Frederick",Assoc,,PHD,76,Tx A&M,1975,
East Tennessee State Univ,"Smith, Jon L.",Assoc,,PHD,82,S Carol,1980,
East Tennessee State Univ,"Warren, J. Harold",Assoc,,PHD,69,Okla St,1969,
East Tennessee State Univ,"Trogen, Paul",Asst,,PHD,95,Fla St,1995,
Eastern Conn State Univ,"Kleine, Patricia A.",Dean,Ed,EDD,90,Maine,1998,
Eastern Conn State Univ,"Mann, Prem S.",C-Pr,AC,PHD,88,UCLA,1986,
Eastern Conn State Univ,"Free, Rhona C.",Prof,AJ,PHD,83,Notre Dm,1983,
Eastern Conn State Univ,"Lombard, John",Prof,AE,PHD,78,Conn,,
Eastern Conn State Univ,"Parzych, Kenneth M.",Prof,ADK,PHD,70,Conn,,
Eastern Conn State Univ,"Clifford, Maryanne",Asst,AFHL,PHD,0,Kentucky,2001,
Eastern Illinois Univ,"Hanner, Mary Anne",Dean,,PHD,81,Ind St,1981,
Eastern Illinois Univ,"Karbassioon, Ebrahim",C-Pr,,PHD,81,Nebraska,1980,
Eastern Illinois Univ,"Dao, Minh Quang",Prof,,PHD,87,Illinois,1987,
Eastern Illinois Univ,"Thompson, William F.",Prof,,PHD,79,Arkansas,1981,
Eastern Illinois Univ,"Bates, Lawrence W.",Assoc,,PHD,75,Tx-Austin,1970,
Eastern Illinois Univ,"Brodsky, Noel",Assoc,,PHD,88,Illinois,1988,
Eastern Illinois Univ,"Bruehler, James",Assoc,,PHD,93,Illinois,1993,
Eastern Illinois Univ,"Champlin, Dell",Assoc,,PHD,90,Utah,1995,
Eastern Illinois Univ,"Fahy, Paul R.",Assoc,,PHD,76,Conn,1976,
Eastern Illinois Univ,"Grant, Alan",Assoc,,PHD,96,Kansas St,1997,
Eastern Illinois Univ,"Hake, Eric",Assoc,,PHD,94,Tennessee,,
Eastern Illinois Univ,"Mason, Timothy I.",Assoc,,PHD,87,Indiana,1989,
Eastern Illinois Univ,"Moshtagh, Ali R.",Assoc,,PHD,88,Arkansas,1987,
Eastern Illinois Univ,"Upadhyay, Mukti",Assoc,,PHD,95,J Hopkins,,
Eastern Illinois Univ,"Ghent, Linda",Asst,DJ,PHD,94,N Car St,,
Eastern Kentucky University,"Kuhnhenn, Gary",Dean$,,PHD,70,Illinois,1979,
Eastern Kentucky University,"Wade, John A.",C-Ac,,PHD,82,Purdue,2000,
Eastern Kentucky University,"O'Connor, J. Francis",Prof,,PHD,74,Minnesota,1989,
Eastern Kentucky University,"Watkins, Thomas G.",Prof,,PHD,79,Iowa St,1984,
Eastern Kentucky University,"Dickey, Steven W.",Assoc,,PHD,85,S Illinois,1983,
Eastern Kentucky University,"Harter, John F. R.",Assoc,,PHD,92,Purdue,1999,
Eastern Kentucky University,"Ruppel, Fred J.",Assoc,,PHD,84,Maryland,1997,
Eastern Kentucky University,"Houston, Robert G.",Asst,,PHD,99,Kentucky,1998,
Eastern Kentucky University,"Ingram, Donna M.",Asst,,PHD,,Cornell,2003,
Eastern Michigan University,"Pritchard, Linda",Dean,,PHD,,,2002,
Eastern Michigan University,"Hanna, Raouf S.",H-Pr,,PHD,73,Indiana,1977,
Eastern Michigan University,"Abdullah, Dewan A.",Prof,,PHD,84,Kentucky,1988,
Eastern Michigan University,"Edgren, John A.",Prof,,PHD,79,Michigan,1979,
Eastern Michigan University,"Erenburg, Sharon J.",Prof,,PHD,86,Illinois,1987,
Eastern Michigan University,"Moreland, Kemper W.",Prof,,PHD,80,Wisconsin,1980,
Eastern Michigan University,"Pearson, Donald W.",Prof,,PHD,70,Tx-Austin,1969,
Eastern Michigan University,"Thornton, James",Prof,,PHD,91,Oregon,1991,
Eastern Michigan University,"Vogt, Michael G.",Prof,,PHD,76,Wisconsin,1978,
Eastern Michigan University,"Woodland, Bill M.",Prof,,PHD,81,Purdue,1981,
Eastern Michigan University,"Crary, David B.",Assoc,,PHD,82,Maryland,1980,
Eastern Michigan University,"Hayworth, Steve",Assoc,,PHD,87,MIT,1977,
Eastern New Mexico Univ,"Huybregts, Gerry",Dean,Mgt,PHD,88,UCLA,1988,
Eastern New Mexico Univ,"Brunsen, William H.",C-Pr,GHMA,PHD,76,Virginia,1987,
Eastern New Mexico Univ,"Sanders, Kenneth K.",Asst,,PHD,90,Utah St,2001,
Eastern New Mexico Univ,"Stansel, Dean",Asst,,PHD,2,GeoMason,2002,
Eastern Oregon University,"Patterson, Anne",Dean,,PHD,89,Florida,7-02,
Eastern Oregon University,"Dahl, Kathleen",C,,,,,,
Eastern Oregon University,"Johnson, Colleen",Prof,AEJM,PHD,88,Wash St,9-86,
Eastern Oregon University,"Steenstra, Alex",Asst,ABDQ,PHD,97,Utah,9-97,
College of Eastern Utah,"Hekmat, Ali",C-Pr,E,PHD,93,Wi-Milwa,1994,
Eastern Washington Univ,"Chertox, Jeffers",Dean,Soc,PHD,73,Oregon,,
Eastern Washington Univ,"Trulove, William T.",C-Pr,,PHD,73,Oregon,1969,
Eastern Washington Univ,"Bunting, David C.",Prof,,PHD,72,Oregon,1971,
Eastern Washington Univ,"Karier, Thomas M.",Prof,,PHD,85,Berkeley,1981,
Eastern Washington Univ,"Kiser, Larry L.",Prof,,PHD,73,Rutgers,1971,
Eastern Washington Univ,"Liu, Tsung-Hua",Prof,,PHD,69,Toronto,1970,
Eastern Washington Univ,"Orr, Douglas V.",Assoc,,PHD,82,Colorado,1991,
Eastern Washington Univ,"Bownds, Lynne",Asst,,PHD,98,Tennessee,1999,
Eastern Washington Univ,"Briand, Genevieve",Asst,,PHD,2,Wash St,2001,
Eastern Washington Univ,"Forsyth, Grant",Asst,,PHD,96,Wash St,1999,
Eastern Washington Univ,"Geddes, Lori",Asst,,PHD,2,Wisconsin,2002,
Eastern Washington Univ,"Malitor, Chris",Asst,,PHD,0,Wash St,2003,
Edinboro University of PA,"Randall, Eric",Dean,,PHD,,,1977,
Edinboro University of PA,"Hannan, Michael J.",C-Pr,CER,PHD,88,W Virginia,1988,
Edinboro University of PA,"Dunn, James R.",Prof,EGHL,PHD,81,SUNY-Bin,1974,
Edinboro University of PA,"Min, An-Sik",Prof,CF,PHD,75,Iowa,1975,
Edinboro University of PA,"Adams, Robert J.",Assoc,GH,PHD,71,Penn St,1977,
Edinboro University of PA,"Hannes, Lance E.",Assoc,DLJ,MBA,87,SUNY-Buf,1978,
Edinboro University of PA,"Morris, Gayle A.",Asst,FGOQ,PHD,81,Penn St,1999,
Elizabethtown College,"Melvin, Sean P.",C-As,BLaw,JD,,Rutgers,,
Elizabethtown College,"Hoppie, Maurice R.",Assoc,,PHD,85,Tennessee,1980,
Elizabethtown College,"Paul, Sanjay",Assoc,FO,PHD,92,SUNY-Buf,2002,
Elmhurst College,"Wilson, Gary S.",D-Pr,,PHD,93,Illinois,1996,Coleman Foundation Distinguished Professor of Business
Elmhurst College,"Heiney, Joseph N.",Prof,,PHD,83,Chicago,1977,Coleman Foundation Distinguished Chair in Business
Elmhurst College,"Thoma, George A. Jr.",Prof,,PHD,73,N Illinois,1970,
Elmhurst College,"Schmitz, Suzanne",Assoc,,PHD,89,Kentucky,1990,
Elmhurst College,"Wan, Siaw-Peng",Assoc,,PHD,94,Illinois,1995,
Elmira College,"Hoffman, Naphtali",C-Ac,,PHD,80,Case Wes,1976,
Elmira College,"Khawar, Mariam",Asst,,PHD,97,J Hopkins,1997,
Elmira College,"McCannon, Bryan",Asst,,PHD,3,Penn St,2003,
Elon University,"Burbridge, John J. Jr.",Dean,Mgt,PHD,70,Lehigh,1996,
Elon University,"Lilly, Gregory A.",C-Ac,CDA,PHD,88,Duke,1990,
Elon University,"Tiemann, Thomas K.",Prof,RC,PHD,75,Vanderbilt,1984,
Elon University,"Barbour, James L.",Assoc,AB,PHD,87,Kentucky,1990,
Elon University,"Das, Jayoti",Asst,FL,PHD,93,Cincinnati,1996,
Elon University,"DeLoach, Stephen B.",Asst,EF,PHD,93,Mich St,1996,
Elon University,"Redington, Douglas B.",Asst,Q,PHD,89,Wyoming,1995,
Embry-Riddle Aeronautical U,"Petree, Daniel L.",Dean,JT,PHD,93,Kansas,2001,
Embry-Riddle Aeronautical U,"Chadbourne, Bruce",C-Pr,Mktg,EDD,85,Fla Atl,1972,
Embry-Riddle Aeronautical U,"Vasigh, Bijan",Prof,,PHD,84,SUNY-Bin,,
Embry-Riddle Aeronautical U,"Knabe, Rudolph",Assoc,,MA,76,Tennessee,,
Embry-Riddle Aeronautical U,"Tacker, Thomas L.",Assoc,,PHD,87,N Carol,,
Embry-Riddle Aeronautical U,"Kornecki, Lucyna",Asst,,PHD,80,Krakow,,
Emory University,"Paul, Robert",Dean,,,,,,
Emory University,"Thursby, Jerry G.",C-Pr,CF,PHD,75,N Carol,2001,
Emory University,"Benston, George J.",Prof,GKLM,PHD,63,Chicago,9-87,"John H. Harland Professor of Finance, Economics, and Accounting"
Emory University,"Rubin, Paul",Prof,K,PHD,70,Purdue,1991,
Emory University,"Schaffer, Beverly K.",Prof,D,PHD,67,Duke,1965,
Emory University,"Carlson, Leonard",Assoc,DJN,PHD,77,Stanford,1975,
Emory University,"Chakravorty, Ujjayant",Assoc,QRH,PHD,89,Hawaii,1999,
Emory University,"Chirinko, Robert",Assoc,EGH,PHD,82,Nrthwstrn,1994,
Emory University,"Curran, Christopher",Assoc,CDK,PHD,72,Purdue,1970,
Emory University,"Dezhbakhsh, Hashem",Assoc,CG,PHD,89,Ohio St,1992,
Emory University,"Levy, Daniel",Assoc,EC,PHD,90,Ca-Irvine,1992,
Emory University,"Miyagiwa, Kaz",Assoc,F,PHD,85,Tx-Austin,2001,
Emory University,"Noussair, Charles N.",Assoc,LD,PHD,93,Cal Tech,2002,
Emory University,"Arbatskaya, Maria",Asst,DL,ABD,,Indiana,9-99,
Emory University,"Capra, C. Monica",Asst,L,PHD,99,Virginia,2003,
Emory University,"Islam, Nazrul",Asst,ECO,PHD,93,Harvard,1997,
Emory University,"Krause, Stefan",Asst,E,PHD,2,Ohio St,2002,
Emory University,"Liu, Zheng",Asst,E,PHD,97,Minnesota,2001,
Emory University,"Mazumdar, Joy",Asst,FEO,PHD,96,Michigan,1996,
Emory University,"Ozden, Caglar",Asst,FL,PHD,98,Stanford,1998,
Emory University,"Pesavento, Elena",Asst,E,PHD,0,Berkeley,2000,
Emory and Henry College,"Russell, Robert F.",C-As,Mgt,MBA,84,Virginia,1984,
Emory and Henry College,"Dobkins, Linda H.",Asst,ROF,PHD,95,Va Tech,1996,
Emporia State University,"Hite, Robert E.",Dean,,PHD,82,Arkansas,2003,
Emporia State University,"Ghosh, Dipak",Assoc,,PHD,94,Tulane,1997,
Emporia State University,"Catlett, Robert B.",Asst,,MA,75,Nebraska,1976,
Emporia State University,"Chakraborhy, Kalyan",Asst,,PHD,98,Utah St,2000,
Emporia State University,"Janssen, Arthur J.",Asst,,MA,,Missouri,1976,
University of Evansville,"Reeder, David B.",Dean,Atg,MBA,80,Kentucky,1968,
University of Evansville,"Blalock, M. Gale",C-Ac,,PHD,80,Okla St,1977,
University of Evansville,"Zimmer, Michael A.",Prof,,PHD,77,Tennessee,1976,
Evergreen State College,"Hahn, Jeanne",C,PolS,ABD,68,Chicago,1972,
Evergreen State College,"Bohmer, Peter G.",,,PHD,85,Mass,1987,
Evergreen State College,"Bowerman, Priscilla V.",,,MPHI,71,Yale,1973,Academic Dean
Evergreen State College,"Bruner, Bill",,,BA,67,W Wash,1981,
Evergreen State College,"Nasser, Alan",,,PHD,71,Indiana,1975,
Evergreen State College,"Weeks, Gregory C.",,,PHD,78,Wash St,1981,
Evergreen State College,"Womeldorf, Thomas",,,PHD,91,American,1991,
Fairfield Universiy,"Lane, Philip J.",C-Ac,EGR,PHD,83,Tufts,1981,
Fairfield Universiy,"Buss, James A.",Prof,EOP,PHD,72,Conn,1975,
Fairfield Universiy,"Deak, Edward J.",Prof,LRK,PHD,74,Conn,1970,
Fairfield Universiy,"LeClair, Mark S.",Assoc,FGC,PHD,87,Rutgers,1988,
Fairfield Universiy,"Miners, Laurence A.",Assoc,CIJA,PHD,79,N Carol,1981,
Fairfield Universiy,"Nantz, Kathryn A.",Assoc,JDPA,PHD,87,Purdue,1986,
Fairfield Universiy,"Franceschi, Dina",Asst,QPO,PHD,,Tennessee,1999,
Fairfield Universiy,"Kelly, Robert A.",Asst,HKC,PHD,71,Geotown,1978,
Fairfield Universiy,"Miners, Cathy",VAsst,EG,PHD,81,N Carol,1998,
Fairleigh Dickinson Univ,"Salmore, Barbara",Dean,SSci,PHD,71,Rutgers,2000,
Fairleigh Dickinson Univ,"Rosen, David M.",C-Pr,K,PHD,73,Illinois,1981,
Fairleigh Dickinson Univ,"Englander, Frederick",Prof,DE,PHD,75,Rutgers,9-87,
Fairleigh Dickinson Univ,"Greenfield, Robert L.",Prof,GP,PHD,79,Rutgers,8-79,
Fairleigh Dickinson Univ,"Jonnard, Claude",Prof,A,PHD,63,NYU,9-65,
Fairleigh Dickinson Univ,"Koppl, Roger",Assoc,BEG,PHD,88,Auburn,1988,
Fairleigh Dickinson Univ,"Steele, David",Dean,,PHD,,Birmingm,7-02,
Fairleigh Dickinson Univ,"Djimopoulos, Evangelos S.",C-Pr,ADEF,PHD,69,Columbia,,
Fairleigh Dickinson Univ,"Anastasopoulos, Petros",Assoc,ADE,PHD,84,New Sch,1986,
